,Source,Target,Value
0,Čech,1John 5:6,10
1,Čech,Matt 5:38,10
2,Čech,Luke 18:13,21
3,Čech,Matt 26:63,4
4,Čech,John 1:36,3
5,Čech,Luke 4:4,3
6,Čech,Matt 3:3/John 1:23/Mark 1:3/Luke 3:4/Isa 40:3,20
7,Čech,John 1:1,7
8,Čech,Matt 10:7,3
9,Čech,Rom 13:11,4
10,Čech,Matt 28:20,15
11,Čech,Matt 5:3,10
12,Čech,John 16:33,13
13,Čech,John 16:2,12
14,Čech,Matt 5:7,5
15,Čech,Mark 2:11,8
16,Čech,Acts 19:6,5
17,Čech,Matt 27:38,3
18,Čech,Prov 19:17,3
19,Čech,John 10:16,18
20,Čech,Luke 10:23,9
21,Čech,Mark 11:10,5
22,Čech,Rev 7:9,4
23,Čech,Luke 23:43,9
24,Čech,Num 20:6,3
25,Čech,Exod 12:14,4
26,Čech,Mark 5:41,3
27,Čech,Matt 5:16,4
28,Čech,Matt 2:2,5
29,Čech,Matt 2:11,7
30,Čech,Rom 8:23,4
31,Čech,Luke 10:27,3
32,Čech,Luke 21:6,8
33,Čech,Matt 6:33,15
34,Čech,1Cor 15:55,6
35,Čech,2Cor 11:23,3
36,Čech,Acts 2:2,4
37,Čech,Luke 23:34,14
38,Čech,2Cor 6:14,4
39,Čech,Matt 4:9,11
40,Čech,John 13:35,4
41,Čech,1John 5:7,3
42,Čech,Matt 22:39,12
43,Čech,John 10:11,18
44,Čech,Luke 2:14,53
45,Čech,Acts 9:4,6
46,Čech,1Kgs 12:4,3
47,Čech,Gen 2:9,3
48,Čech,Acts 5:29,11
49,Čech,Matt 4:4,9
50,Čech,Luke 19:46,4
51,Čech,Matt 11:28,22
52,Čech,Luke 9:35,4
53,Čech,2Pet 1:17,16
54,Čech,Luke 18:10,3
55,Čech,Luke 18:11,6
56,Čech,Matt 23:12,4
57,Čech,Matt 6:12,6
58,Čech,Matt 6:11/Luke 11:3,14
59,Čech,Exod 20:15/Deut 5:19,16
60,Čech,Luke 18:31,5
61,Čech,Luke 18:34,3
62,Čech,Ps 127:1,9
63,Čech,Mark 16:16,7
64,Čech,Exod 20:12/Deut 5:16/Eph 6:2,10
65,Čech,John 1:14,8
66,Čech,Gen 3:19,12
67,Čech,Matt 22:21,7
68,Čech,Matt 7:21,7
69,Čech,Mark 13:31/Matt 24:35/Luke 21:33,18
70,Čech,Prov 26:27,7
71,Čech,Matt 27:25,34
72,Čech,Matt 16:24,7
73,Čech,Matt 13:24,4
74,Čech,Matt 13:30,4
75,Čech,Luke 9:55,4
76,Čech,John 6:48,3
77,Čech,John 8:12,14
78,Čech,John 11:25,12
79,Čech,Luke 11:23,3
80,Čech,Matt 12:30,9
81,Čech,2Cor 1:2/Phil 1:2/2Thess 1:2/1Cor 1:3/Eph 1:2/Gal 1:3,9
82,Čech,Matt 8:25,7
83,Čech,John 6:56,3
84,Čech,Matt 16:18,39
85,Čech,John 20:23,3
86,Čech,Luke 16:9,7
87,Čech,Matt 22:42,15
88,Čech,Matt 6:9,4
89,Čech,Luke 9:23,4
90,Čech,Mark 12:30,5
91,Čech,Rev 14:13,4
92,Čech,John 16:16,3
93,Čech,Rom 13:1,3
94,Čech,1Cor 13:2,3
95,Čech,Exod 20:13/Deut 5:17,20
96,Čech,Luke 11:17,5
97,Čech,1Cor 3:11,3
98,Čech,Gal 2:20,5
99,Čech,Mark 16:17,3
100,Čech,Matt 18:35,3
101,Čech,Luke 24:26,6
102,Čech,Matt 11:29,12
103,Čech,Mark 10:23,5
104,Čech,Matt 11:3,7
105,Čech,John 1:29,7
106,Čech,Matt 18:7,4
107,Čech,Luke 10:16,10
108,Čech,John 17:5,3
109,Čech,1Cor 15:20,7
110,Čech,Matt 19:12,4
111,Čech,Matt 6:10,18
112,Čech,Mark 2:5,6
113,Čech,Ps 51:3,6
114,Čech,Ps 50:3,8
115,Čech,Matt 28:19,8
116,Čech,John 2:4,4
117,Čech,Gen 13:8,4
118,Čech,1Pet 3:18,3
119,Čech,Rom 4:21,3
120,Čech,Luke 3:6,3
121,Čech,John 13:1,4
122,Čech,1Sam 10:24,3
123,Čech,2Sam 16:18,3
124,Čech,Matt 13:25,5
125,Čech,Mark 10:9,3
126,Čech,Gen 3:5,4
127,Čech,John 14:6,23
128,Čech,Matt 19:17,3
129,Čech,John 13:15,5
130,Čech,Matt 6:24,9
131,Čech,Matt 7:16,6
132,Čech,John 16:23,3
133,Čech,Luke 22:48,3
134,Čech,Acts 26:2,3
135,Čech,John 16:8,5
136,Čech,1Tim 2:4,8
137,Čech,John 3:15,9
138,Čech,Rom 10:11,3
139,Čech,Rom 2:6,5
140,Čech,John 19:11,3
141,Čech,Matt 6:13,4
142,Čech,Luke 22:19,6
143,Čech,Luke 6:19,3
144,Čech,John 8:46,5
145,Čech,Luke 13:21,4
146,Čech,Rev 3:20,3
147,Čech,Jer 2:13,5
148,Čech,Mark 10:48,5
149,Čech,Matt 19:19,9
150,Čech,Exod 20:14/Deut 5:18,5
151,Čech,Luke 18:42,5
152,Čech,Acts 4:20,3
153,Čech,John 4:48,6
154,Čech,Luke 11:28,3
155,Čech,Matt 20:1,3
156,Čech,John 12:13,8
157,Čech,Matt 23:39,8
158,Čech,Luke 1:33,5
159,Čech,Luke 1:38,3
160,Čech,Mark 8:34,6
161,Čech,John 14:27,6
162,Čech,Luke 18:33,3
163,Čech,Luke 2:10,10
164,Čech,Matt 10:32,7
165,Čech,Matt 10:33,7
166,Čech,Matt 23:9,6
167,Čech,Luke 20:25,21
168,Čech,Matt 20:16,5
169,Čech,Gen 1:2,4
170,Čech,Heb 1:1,3
171,Čech,Luke 6:27,3
172,Čech,Luke 2:34,9
173,Čech,Matt 6:26,3
174,Čech,John 6:51,3
175,Čech,Luke 22:31,3
176,Čech,Matt 16:16,6
177,Čech,Ps 117:26,5
178,Čech,Luke 15:7,6
179,Čech,1Cor 2:9,7
180,Čech,Matt 19:18,5
181,Čech,Rom 11:33,3
182,Čech,1Cor 13:11,3
183,Čech,Ps 118:24,4
184,Čech,Luke 7:14,3
185,Čech,Matt 14:3,3
186,Čech,Luke 5:11,5
187,Čech,Ps 110:10,3
188,Čech,Matt 22:16,3
189,Čech,Isa 45:8,5
190,Čech,Matt 18:17,6
191,Čech,Matt 25:21,5
192,Čech,Matt 25:23,5
193,Čech,1Cor 8:6,3
194,Čech,John 3:21,3
195,Čech,John 3:20,3
196,Čech,Matt 5:22,4
197,Čech,Gen 4:6,3
198,Čech,Mark 14:7,3
199,Čech,Matt 12:7,4
200,Čech,Matt 1:20,3
201,Čech,Job 19:21,3
202,Čech,Matt 5:8,6
203,Čech,Luke 14:11,4
204,Čech,Luke 24:29,4
205,Čech,Matt 25:41,3
206,Čech,2Tim 4:7,4
207,Čech,1Cor 15:17,7
208,Čech,Matt 16:19,3
209,Čech,Luke 16:3,3
210,Čech,Matt 7:15,6
211,Čech,John 3:19,3
212,Čech,Job 19:25,3
213,Čech,John 8:58,4
214,Čech,John 10:30,6
215,Čech,Matt 9:4,3
216,Čech,Mark 16:6,3
217,Čech,John 11:24,3
218,Čech,Luke 16:13,6
219,Čech,Mark 8:2,6
220,Čech,John 5:33,3
221,Čech,John 18:37,7
222,Čech,Matt 9:5,4
223,Čech,Acts 5:39,4
224,Čech,Rom 16:24,5
225,Čech,John 11:3,3
226,Čech,Mark 10:7,3
