,Source,Target,Value
367,Čech,2Sam 14:5,1
369,Čech,John 14:16,2
373,Čech,Jer 2:13,5
377,Čech,Mark 10:48,5
378,Čech,Eph 4:25,1
380,Čech,Matt 19:19,9
381,Čech,Exod 20:14/Deut 5:18,5
382,Čech,Luke 18:42,5
383,Čech,Acts 4:20,3
386,Čech,Matt 20:1,3
388,Čech,1Cor 12:15,2
389,Čech,John 12:13,8
390,Čech,Matt 23:39,8
391,Čech,Luke 1:33,5
392,Čech,Luke 1:38,3
394,Čech,2Macc 14:25,1
398,Čech,Gal 3:26,1
400,Čech,Matt 27:42,1
403,Čech,John 14:27,6
406,Čech,Luke 2:10,10
407,Čech,Matt 6:29,1
411,Čech,Matt 10:32,7
412,Čech,Matt 10:33,7
413,Čech,Matt 18:14,2
414,Čech,Matt 23:9,6
415,Čech,Luke 20:25,21
416,Čech,Mark 13:31/Matt 24:35/Luke 21:33,11
417,Čech,2Tim 4:1,1
418,Čech,Matt 20:16,5
419,Čech,Luke 9:8,2
421,Čech,Gen 1:2,4
423,Čech,John 5:26,1
425,Čech,Luke 12:12,1
428,Čech,Acts 2:1,1
430,Čech,Luke 6:27,3
432,Čech,Luke 2:34,9
433,Čech,Tob 5:11,1
435,Čech,John 4:14,2
437,Čech,Acts 28:16,1
438,Čech,Matt 6:26,3
439,Čech,John 6:51,3
443,Čech,Matt 16:16,6
444,Čech,Ps 117:26,5
445,Čech,Luke 15:7,6
448,Čech,1Cor 2:9,7
449,Čech,Mark 11:17,1
452,Čech,Matt 19:18,5
453,Čech,Rom 11:33,3
455,Čech,Luke 13:9,1
456,Čech,Matt 7:19,2
458,Čech,1Cor 13:11,3
459,Čech,John 17:21,1
460,Čech,Ps 118:24,4
464,Čech,Matt 17:7,2
466,Čech,Acts 13:10,1
468,Čech,Luke 7:14,3
470,Čech,John 20:25,1
474,Čech,Luke 3:19,1
475,Čech,Matt 14:3,3
476,Čech,Isa 5:20,2
477,Čech,Gen 1:3,1
479,Čech,John 16:7,2
480,Čech,2Kgs 4:12,1
481,Čech,Dan 7:7,1
483,Čech,1Cor 12:21,1
486,Čech,Jer 50:17,1
497,Čech,Isa 45:8,5
500,Čech,Matt 18:17,6
501,Čech,Ezra 5:10,1
503,Čech,John 6:54,2
504,Čech,Luke 22:40,2
506,Čech,Eph 6:17,1
507,Čech,Ps 56:2,2
508,Čech,Gen 1:26,1
509,Čech,Matt 25:21,5
510,Čech,Matt 25:23,5
512,Čech,Luke 4:24,2
513,Čech,Matt 8:8,2
515,Čech,John 21:14,2
517,Čech,Tob 8:10,2
518,Čech,Rev 12:7,2
519,Čech,John 16:20,2
520,Čech,Gen 9:1,1
522,Čech,Dan 5:25,1
529,Čech,Matt 5:22,4
533,Čech,Dan 9:24,1
534,Čech,Matt 2:6,2
535,Čech,Matt 12:7,4
536,Čech,Eph 5:27,1
540,Čech,2Cor 8:9,1
541,Čech,Matt 1:20,3
545,Čech,1John 4:16,2
546,Čech,Phil 3:1,1
552,Čech,Matt 3:17,2
554,Čech,Acts 19:2,1
555,Čech,Rom 8:31,1
557,Čech,Luke 22:41,2
558,Čech,Job 19:21,3
559,Čech,Matt 5:8,6
560,Čech,Luke 10:7,1
562,Čech,Luke 14:11,4
564,Čech,Luke 24:29,4
565,Čech,Rom 11:36,1
566,Čech,Luke 12:31,1
569,Čech,Matt 25:41,3
571,Čech,John 20:2,1
572,Čech,Matt 28:2,1
574,Čech,Mark 9:9,1
575,Čech,2Tim 4:7,4
576,Čech,1Cor 15:17,7
577,Čech,Sir 51:24,1
578,Čech,Deut 31:20,1
580,Čech,Matt 16:19,3
581,Čech,Matt 18:18,1
586,Čech,Matt 7:15,6
587,Čech,Exod 2:4,1
589,Čech,Job 19:25,3
593,Čech,Rev 22:13,2
596,Čech,Prov 14:34,2
597,Čech,John 10:30,6
600,Čech,Matt 25:35,1
606,Čech,Matt 23:13,1
613,Čech,Mark 16:6,3
617,Čech,Luke 10:29,1
621,Čech,2Tim 4:2,1
623,Čech,Mark 14:27,2
624,Čech,Luke 16:13,6
629,Čech,Mark 8:2,6
635,Čech,Luke 8:8,2
636,Čech,John 14:26,2
637,Čech,1Cor 3:16,1
639,Čech,Luke 9:62,2
647,Čech,John 5:33,3
648,Čech,John 18:37,7
650,Čech,Dan 4:28,4
653,Čech,Luke 12:8,1
656,Čech,John 1:23,1
657,Čech,Mark 1:7,2
659,Čech,Mark 10:31,1
660,Čech,Matt 19:30,1
662,Čech,2Sam 5:4,1
663,Čech,Rom 16:24,5
671,Čech,John 16:19,2
672,Čech,Gen 2:7,1
677,Čech,John 15:12,1
678,Čech,Jas 3:9,2
680,Čech,Ps 23:3,1
681,Čech,Ezek 18:4,1
687,Čech,Luke 2:48,3
689,Čech,Matt 7:8,1
690,Čech,Matt 13:3,1
691,Čech,Mark 2:9,2
696,Čech,1Tim 6:15,2
701,Čech,Acts 7:33,3
703,Čech,Heb 5:9,2
705,Čech,1John 4:1,2
707,Čech,Job 7:1,1
708,Čech,Jude 1:9,3
716,Čech,Matt 19:24,2
719,Čech,Luke 5:5,2
724,Čech,Judg 19:17,1
725,Čech,Luke 2:29,1
728,Čech,2Cor 10:9,2
732,Čech,2Tim 3:8,2
734,Čech,Rom 4:7,5
735,Čech,Ps 23:1,1
741,Čech,Luke 1:28,1
742,Čech,Luke 2:11,5
743,Čech,Gen 3:15,2
744,Čech,Deut 32:10,2
745,Čech,Heb 10:37,2
746,Čech,Ezek 34:3,1
748,Čech,John 20:29,2
753,Čech,Eph 5:16,1
756,Čech,Mark 10:24,1
759,Čech,John 19:17,1
768,Čech,John 17:3,1
769,Čech,1Tim 5:18,2
771,Čech,Mark 12:33,1
774,Čech,Matt 25:30,2
776,Čech,Deut 18:3,1
777,Čech,2Chr 9:3,1
783,Čech,Mark 14:38,3
784,Čech,Matt 26:41,1
786,Čech,Matt 5:24,3
787,Čech,2Cor 5:10,1
791,Čech,Luke 6:37,4
793,Čech,Luke 18:38,1
794,Čech,Sir 10:27,1
796,Čech,Matt 25:34,2
797,Čech,Luke 2:36,1
798,Čech,Luke 11:24,1
799,Čech,Luke 9:4,1
801,Čech,Rom 13:12,1
802,Čech,Rom 13:13,1
806,Čech,Ezek 16:49,1
807,Čech,John 15:4,1
808,Čech,John 15:1,1
810,Čech,Matt 7:6,1
811,Čech,Gen 12:1,1
812,Čech,Matt 5:9,2
813,Čech,Jas 1:17,2
814,Čech,1Cor 13:3,3
816,Čech,Mark 8:17,1
817,Čech,Luke 21:29,2
822,Čech,Luke 22:42,2
825,Čech,Jas 2:20,1
830,Čech,John 10:12,1
833,Čech,Esth 8:13,1
834,Čech,Matt 5:20,13
835,Čech,Matt 18:3,9
837,Čech,Acts 13:9,2
848,Čech,Rev 21:4,3
851,Čech,Matt 7:7,2
