,size,Group,Verse text
1P 3:18,1,Nový zákon,"Nebo i Kristus jedinou za hříchy trpěl, spravedlivý za nespravedlivé, aby nás přivedl k Bohu, umrtven jsa z strany těla, ale obživen Duchem."
R 4:21,1,Nový zákon,"a nabyl pevného přesvědčení, že Bůh jest mocen i učiniti, co slíbil."
Mk 10:9,1,Evangelia,"Nuže, co Bůh spojil, člověk nerozlučuj.“"
Gn 3:5,1,Starý zákon,"Ale ví Bůh, že v kterýkoli den z něho jísti budete, otevrou se oči vaše; a budete jako bohové, vědouce dobré i zlé."
J 14:6,1,Evangelia,Ježíš řekl jemu: „Já jsem cesta a pravda a život; nikdo nepřichází k Otci leč jen skrze mne.
J 3:15,1,Evangelia,"Aby každý, kdož věří v něho, nezahynul, ale měl život věčný."
Mt 6:13,1,Evangelia,A neuvoď nás v pokušení. Ale zbav nás od zlého. Amen.
J 8:46,1,Evangelia,"Kdo z vás bude mne trestati z hříchu? Jestli pravdu pravím vám, proč mi nevěříte?"
Mk 10:48,1,Evangelia,"I domlouvali mu mnozí, aby mlčel, ale on mnohem hlasitěji volal: „Synu Davidův, smiluj se nade mnou.“"
Mt 19:19,1,Evangelia,cti otce svého i matku svou a milovati budeš bližního svého jako sebe samého.“
Ex 20:14/Dt 5:18,1,Desatero,Nesesmilníš.
L 18:42,1,Evangelia,A Ježíš řekl jemu: Prohlédni. Víra tvá tě uzdravila.
L 2:10,1,Evangelia,"I řekl jim anděl: „Nebojte se, neboť hle, zvěstují vám radost velikou, která bude všemu lidu."
Mt 10:33,1,Evangelia,"Kdož by pak mne zapřel před lidmi, zapřímť ho i já před Otcem svým, kterýž jest v nebesích."
Mt 23:9,1,Evangelia,"A otce nenazývejte sobě na zemi; nebo jeden jest Otec váš, kterýž jest v nebesích."
L 20:25,1,Evangelia,"I řekl jim: „Dávejte tedy, co je císařovo, císaři, a co jest Božího, Bohu.“"
Mk 13:31/Mt 24:35/L 21:33,1,Evangelia,Nebe a země pominou: ale slova má nepominou.
Mt 20:16,1,Evangelia,"Tak budou poslední prvními a první posledními; neboť mnoho jest povolaných, ale málo vyvolených.“"
L 6:27,1,Evangelia,"Ale vám-ť pravím kteříž slyšíte: Milůjte nepřátely své, dobře čiňte těm kteříž vás nenávidí."
Mt 16:16,1,Evangelia,"Odpovídaje Šimon Petr, řekl: Ty jsi Kristus Syn Boha živého."
Z 117:26,1,Starý zákon,"Požehnán buď, jenž přichází ve jménu Páně, žehnáme vám z Hospodinova domu."
Mt 19:18,1,Evangelia,"Dí jemu: Kterých? Ježíš pak řekl: Nezabiješ, nezcizoložíš, nepokradeš, nepromluvíš křivého svědectví."
Z 118:24,1,Starý zákon,"Tentoť jest den, kterýž učinil Hospodin, a protož radujme se a veselme se v něm."
Iz 45:8,1,Starý zákon,"Rosu dejte nebesa s hůry, a nejvyšší oblakové dštěte spravedlnost; otevři se země, a ať vzejde spasení, a spravedlnost ať spolu vykvete. Já Hospodin způsobím to."
Mt 25:21,1,Evangelia,"Řekl mu Pán jeho: To dobře, služebníče dobrý a věrný: že si nad málem byl věrný, nad mnohem tebe ustanovím: vejdiž v radost Pána svého."
Mt 25:23,1,Evangelia,"Řekl mu Pán jeho: To dobře, služebníče dobrý a věrný: že si nad málem byl věrný, nad mnohem tebe ustanovím; vejdiž v radost Pána svého."
Mt 12:7,1,Evangelia,"Než kdybyste věděli, co jest to: Milosrdenství chci a ne oběti, nepotupovali byste nevinných."
Jb 19:21,1,Starý zákon,"Slitújte se nade mnou, slitújte se nade mnou, aspoň vy přátelé moji, nebo ruka Páně dotkla se mne."
Mt 5:8,1,Evangelia,"Blahoslavení čistého srdce, nebo oni Boha viděti budou."
2Tm 4:7,1,Nový zákon,"Dobrý boj sem bojoval, běh sem dokonal, víru sem zachoval."
J 10:30,1,Evangelia,Já a Otec jedno jíme.
Da 4:28,1,Starý zákon,"Když ještě řeč ta v ústech králových byla, spadl s nebe hlas: „Tobě přísluší výrok, králi Nabuchodonosore: Království tvé odejde od tebe,"
L 2:11,1,Evangelia,"Narodilť se vám dnes Spasitel, to jest Kristus Pán, v městě Davidově."
Mk 14:38,1,Evangelia,"Bděte a modlete se, abyste nevešli v pokušení; duch zajisté hotov jest, ale tělo slabo.“"
Mt 5:20,1,Evangelia,"Neboť pravím vám: nebude-li hojnější spravedlnost vaše než zákoníků a fariseů, nevejdete do království nebeského."
Mt 11:5,1,Evangelia,"slepí vidí, kulhaví chodí, malomocní se očišťují, hluší slyší, mrtví vstávají z mrtvých, chudým se zvěstuje evangelium,"
L 18:20,1,Evangelia,"Umíš přikázaní: Nezcizoložíš, nezabiješ, nepokradeš, nepromluvíš křivého svědectví, cti otce svého i matku svou."
L 11:24,1,Evangelia,"Když nečistý duch vyjde z člověka, prochází místa bez vody a hledá odpočinek; poněvadž ho nenajde, řekne si: »Vrátím se do svého domu, odkud jsem vyšel.«"
2Pa 19:11,1,Starý zákon,"Kněz pak Amarjáš, velekněz váš, buď nejvyšším (soudcem) ve věcech, týkajících se Hospodina; a Zabadjáš, syn Ismahelův, který je knížetem v domě Judově, bude nejvyšším (soudcem) ve věcech, které k úřadu královskému příslušejí; jakožto úředníky máte levity před sebou. Buďte zmužilí, čiňte (tak) pečlivě, a bude Hospodin blahovolně s vámi."""
Mk 14:62,1,Evangelia,"Ježíš odpověděl: „Jsem, a uvidíte Syna člověka seděti po pravici Moci a přicházeti s oblaky nebeskými.“"
J 18:7,1,Evangelia,Zeptal se jich po druhé: „Koho hledáte?“ Oni řekli: „Ježíše Nazorejského!“
1Tm 6:11,1,Nový zákon,"Ale ty, člověče Boží, se toho vystříhej. Usiluj o spravedlnost, zbožnost, víru, lásku, trpělivost, mírnost. "
Zd 5:9,1,Nový zákon,"a byv dokonán stal se příčinou věčné spásy všem, kteří ho poslouchají,"
L 9:8,1,Evangelia,"neboť někteří říkali: „Jan vstal z mrtvých“, jiní: „Eliáš se objevil“, jiní pak: „Jeden ze starých proroků vstal z mrtvých.“"
Moravský hospodář,5,Tisk: Moravský hospodář,Moravský hospodář
Polední list,5,Tisk: Polední list,Polední list
Moravský večerník,5,Tisk: Moravský večerník,Moravský večerník
Věstník katolického duchovenstva,5,Tisk: Věstník katolického duchovenstva,Věstník katolického duchovenstva
Přítomnost,5,Tisk: Přítomnost,Přítomnost
Venkov,5,Tisk: Venkov,Venkov
Studentský časopis,5,Tisk: Studentský časopis,Studentský časopis
Československý zemědělec,5,Tisk: Československý zemědělec,Československý zemědělec
Český učitel,5,Tisk: Český učitel,Český učitel
Čech,5,Tisk: Čech,Čech
Posel záhrobní,5,Tisk: Posel záhrobní,Posel záhrobní
