,size,Group,Verse text
Rev 7:9,1,Nový zákon,"Potom sem viděl zástup veliký, kteréhož žádný přečísti nemohl, ze všech národů a pokolení, a lidí, i jazyků: ani stojí před trůnem, a před obličejem Beránka, souce oblečeni v bílá roucha: a palmy v rukou jejich:"
Luke 23:43,1,Evangelia,"I řekl mu Ježíš: Amen pravím tobě, dnes budeš semnou v Ráji."
Phil 2:10,1,Nový zákon,"aby ve jménu Ježíše každé koleno klekalo Nebeských, Zemských, i Pekelních;"
Num 20:6,1,Starý zákon,"Mojžíš a Áron nechavše lid, vešli do stánku úmluvy, padli na tvář až k zemi [a volali k Hospodinu: Hospodine, Bože, uslyš křik tohoto lidu a otevři jim poklad svůj, studnici vody živé, aby, když se napijí, přestali reptati]. Tu se nad nimi ukázala velebnost Hospodinova"
Ps 118:19,1,Starý zákon,"Otevřetež mi brány spravedlnosti, a vejda do nich, oslavovati budu Hospodina."
Luke 9:22,1,Evangelia,„Syn člověka musí mnoho trpěti a zavržen býti od starších a velekněží i zákoníkův a býti zabit a třetího dne vstáti z mrtvých.“
Matt 17:3,1,Evangelia,"A aj, ukázali se jim Mojžíš a Eliáš, rozmlouvající s ním."
Matt 17:4,1,Evangelia,"Petr pak promluviv řekl Ježíšovi: „Pane, dobře jest nám zde býti; chceš-li, udělejme tu tři stánky, tobě jeden, Mojžíšovi jeden a Eliášovi jeden.“"
1Sam 21:7,1,Starý zákon,"Toho dne byl tu muž jeden ze služebníků Saulových, uvnitř, ve stánku Hospodinově; a jméno jeho Doeg, Edomec, vrchní Saulových pastýřů. – "
1Cor 11:27,1,Nový zákon,"A protož kdokoli jedl by chléb tento, a pil kalich Páně nehodně, vinen bude tělem a krví Páně."
Matt 20:23,1,Evangelia,"Dí jim: „Kalich můj sice píti budete, seděti však na pravici neb na levici mé není mojí věci dáti (vám), nýbrž těm, jimž připraveno jest od Otce mého.“"
John 15:18,1,Evangelia,"Jestliže svět vás nenávidí, vězte, že mne nenáviděl prve nežli vás."
Luke 5:23,1,Evangelia,"Co je snadnější říci: »Tvé hříchy jsou ti odpuštěny«, či říci: »Vstaň a choď«? "
Dan 14:37,1,Starý zákon,"Daniel řekl: „Rozpomněl ses na mne, Bože, a neopustil jsi milujících tebe!"""
1Cor 13:5,1,Nový zákon,"není ctižádostivá, nehledá svého prospěchu, neroztrpčuje se, nemyslí o zlém,"
John 15:5,1,Evangelia,"Já jsem vinný kmen a vy ratolesti. Kdo zůstává ve mně, a já v něm, ten nese ovoce mnohé; nebo beze mne nic nemůžete učiniti."
Exod 12:14,1,Starý zákon,"Den tento bude vám dnem památným; bude vám svátkem na věky, který slaviti budete ve (všech) svých pokoleních."
Mark 5:41,1,Evangelia,"A vzav dívku za ruku, řekl jí: „Talítha, kúmi,“ to jest v překladě: „Dívko, (tobě pravím), vstaň.“"
Acts 18:17,1,Nový zákon,"A tu všickni uchopili Sostena, představeného synagogy, a bili ho před soudnou stolicí, ale Galllo nic na to nedbal."
Matt 18:33,1,Evangelia,"neměl jsi tedy také ty slitovati se nad spoluslužebníkem svým, jako i já slitoval jsem se nad tebou?‘"
Matt 5:16,1,Evangelia,"Tak svěť světlo vaše před lidmi, ať vidí skutky vaše dobré, a slaví Otce vašeho, kterýž jest v nebesích."
John 1:19,1,Evangelia,"A totoť jest svědectví Janovo, když poslali Židé z Jeruzaléma Kněží a Jahny k němu, aby se ho tázali: Ty kdo jsi?"
John 15:13,1,Evangelia,"Větší lásky nemá nikdo nad tu, aby kdo položil život svůj za své přátele."
Num 24:17,1,Starý zákon,"Uzřímť jej, ale ne nyní, pohledím na něj, ale ne z blízka. Vyjdeť hvězda z Jákoba, a povstane berla z Izraele, kteráž poláme knížata Moábská, a zkazí všecky syny Set."
Matt 2:2,1,Evangelia,"řkouce: „Kde jest ten novorozený král židovský? Neboť viděli jsme hvězdu jeho na východě, i přišli jsme poklonit se jemu.“"
Matt 2:8,1,Evangelia,"A propouštěje je do Betléma, řekl: Jděte, a ptejte se pilně na dítě, a když naleznete, zvěstújtež mi, abych i já přijda klaněl se jemu."
Matt 2:11,1,Evangelia,"I vešedše do domu, nalezli dítko s Marií, matkou jeho, a padše, klaněli se jemu, a otevřevše poklady své, obětovali mu dary: zlato, kadidlo a myrrhu."
Rom 8:23,1,Nový zákon,"A nejen ono, nýbrž i my, ač máme prvotiny Ducha, i my sami v sobě sténáme, očekávajíce synovství, (totiž) vykoupení těla svého. "
Eph 4:5,1,Nový zákon,"jeden Pán, jedna víra, jeden křest; "
Isa 65:17,1,Starý zákon,"Nebo aj, já stvořím nebesa nová a zemi novou, a nebudou připomínány první věci, aniž vstoupí na srdce."
2Pet 3:10,1,Nový zákon,"Přijde však den Páně jako zloděj, a v něm nebesa s velikým hukotem pominou, základy pak žárem se rozpustí a země i díla, která jsou na ní, shoří."
