,size,Group,Verse text
Neh 9:17,1,6-10,"A nechtěli slyšeti, a nerozpomenuli se na divné věci tvé kteréž si byl učinil jim. A zatvrdili šíje své, a dali hlavu aby se navrátili k službě své, jako skrze svár. Ty pak Bože milostivý, dobrotivý a milosrdný, dlouho čekající a mnohého smilování neopustil si jich,"
Luke 8:5,1,3-5,"Vyšel, kterýž rozsívá, aby rozsíval símě své: a když rozsívá jedno padlo podlé cesty: i pošlapáno jest, a ptáci nebeští zzobali je."
2Tim 2:8,1,3-5,"Pamatuj na Ježíše Krista, jenž jsa z potomstva Davidova, vstal z mrtvých podle evangelia mého, ve kterém snáším utrpení až do vazby jako zločinec;"
2Cor 11:23,1,3-5,"Služebníky Kristovými jsou? Jako nesmyslný pravím: Já více. V prácech (jsem býval) přehojně, ve vězeních přehojně, v ranách nad míru, v nebezpečenství smrti častokrát."
Acts 2:2,1,6-10,"Tu povstal náhle s nebe hukot, jako když táhne vítr silný, a naplnil dům, kde seděli;"
Acts 2:4,1,6-10,"I naplněni jsou všickni Duchem svatým, a počali mluviti jinými jazyky, jakž ten Duch dával jim vymlouvati."
Luke 1:35,1,3-5,"A odpověděv Anjel, řekl jí: Duch svatý stoupí v tě, a moc Nejvyššího zastíní tobě: a protož i to což se z tebe Svatého narodí, slouti bude Syn Boží."
Luke 23:34,1,21+,"Ježíš řekl: „Otče, odpusť jim, vždyť nevědí, co činí.“ Když si chtěli rozděliti mezi sebe jeho šaty, metali losy."
Matt 10:16,1,3-5,"Aj já posílám vás jako ovce mezi vlky: Protož buďte opatrní, jako hadové, a sprostní jako holubice."
2Cor 6:14,1,3-5,Netáhněte jha s nevěřícími. Nebo jaký jest spolek spravedlnosti s nepravostí? A jaké obcování světla s temnostmi?
Matt 4:9,1,16-20,"a řekl: „Toto všecko tobě dám, jestliže padna, budeš se mi klaněti.“"
John 13:35,1,6-10,"Po tom poznají všichni, že jste učeníci moji, budete-li míti lásku jedni k druhým.“"
1John 5:7,1,3-5,"Jsou zajisté tři, kteří vydávají svědectví na nebi, Otec, Slovo a Duch svatý; a tito tři jedno jsou;"
Matt 22:39,1,21+,Druhé pak jest podobné tomu: Milovati budeš bližního svého jako sebe samého.
John 13:34,1,3-5,"Přikázání nové dávám vám, abyste se milovali vespolek; jako jsem já miloval vás, abyste se i vy milovali vespolek."
Titus 1:2,1,3-5,"k naději v život věčný, který zaslíbil neklamný Bůh před věčnými časy, -"
John 10:11,1,21+,Jáť jsem Pastýř dobrý. Dobry Pastýř duši svou dává za ovce své.
Luke 2:14,1,21+,"Sláva na výsostech Bohu, a na zemi pokoj, lidem dobrá vůle."
Acts 9:4,1,6-10,"a on pad na zem uslyšel hlas, an k němu praví: „Šavle, Šavle, proč mě pronásleduješ?“"
1Kgs 12:4,1,3-5,"Otec tvůj ztížil jho naše; protož nyní polehč služby otce svého tvrdé a břemena jeho těžkého, kteréž vzložil na nás, a budeme tobě sloužiti."
Gen 2:9,1,3-5,"A vyvedl Hospodin Bůh z země všeliký strom na pohledění libý, a ovoce k jídlu chutné; též strom života u prostřed ráje, i strom vědění dobrého a zlého."
Exod 20:5,1,3-5,"Nebudeš se jim klaněti, aniž (jich) ctíti; jáť jsem Hospodin, Bůh tvůj silný a řevnivý, jenž do třetího a čtvrtého kolena stíhá syny za nepravosti těch otců, kteří mne nenávidí,"
Acts 5:29,1,11-15,Petr a apoštolově odpověděli: „Více sluší poslouchati Boha než lidí.
Matt 4:11,1,3-5,"Tedy opustil ho ďábel, a aj, andělé přistoupili a sloužili jemu."
