,verse,initial results,filtered stop-subverses,filtered multiple attributions,"""sure"" citations"
180,Ef 4:5,2,2,2,2
181,Iz 65:17,1,1,1,0
182,2P 3:13,1,1,0,0
183,2P 3:10,2,2,2,1
184,L 21:28,2,2,2,0
185,Jud 12:3,6,0,0,0
186,2K 12:21,236,0,0,0
187,Ez 17:15,56,1,1,0
188,J 20:23,5,5,3,1
189,J 20:22,5,5,3,0
190,Iz 41:26,32,0,0,0
191,Mk 5:23,10,0,0,0
192,Dt 19:6,1,0,0,0
193,Zd 13:20,57,0,0,0
194,Ga 1:3,60,15,0,0
195,Mk 15:39,11,0,0,0
196,Gn 2:18,4,4,4,0
197,Gn 42:25,1,0,0,0
198,L 10:27,47,47,9,1
199,L 21:6,32,32,32,0
200,Z 138:1,1,1,0,0
201,Dt 10:12,2,1,0,0
202,Dt 30:6,1,1,0,0
203,Dt 30:10,1,1,0,0
204,Jr 32:41,1,1,1,0
205,Mt 10:37,1,1,1,0
206,Mt 6:33,29,29,28,1
207,1K 15:54,7,7,6,0
208,1K 15:55,10,10,10,6
209,Gn 38:24,166,0,0,0
210,Neh 9:17,7,7,7,0
211,Dt 5:17,336,336,0,0
212,Ex 20:13,336,336,0,0
213,L 8:5,5,5,3,1
214,2Tm 2:9,1,1,1,1
215,2Tm 2:8,4,4,4,1
216,2K 11:23,5,4,3,1
217,R 2:16,1,1,0,0
218,2Kr 19:7,1,0,0,0
219,Iz 37:7,1,0,0,0
220,Iz 59:15,22,0,0,0
221,Sk 2:2,8,8,6,4
222,Sk 2:4,10,10,6,3
223,Sk 4:31,13,9,0,0
224,Sk 2:3,6,6,3,0
225,Sk 4:8,12,12,0,0
226,Sk 13:9,12,12,5,0
227,Sk 26:25,1,1,1,0
228,L 12:49,3,3,2,1
229,L 1:35,4,4,3,1
230,L 23:34,33,33,33,9
231,Sk 7:60,9,2,1,0
232,Sk 7:59,9,2,0,0
233,1Kr 14:22,69,0,0,0
234,Ez 43:6,22,0,0,0
235,Tit 2:13,34,0,0,0
236,Mt 10:16,4,4,4,0
237,Mal 2:17,110,0,0,0
238,2K 3:15,63,1,1,0
239,2K 6:14,4,4,4,0
240,2K 6:4,4,4,0,0
241,Mt 4:9,21,21,19,0
242,J 13:35,9,8,7,2
243,Dt 5:6,2,2,0,0
244,Ex 20:2,2,2,0,0
245,Ez 20:5,6,4,0,0
246,Ez 20:19,4,4,0,0
247,Lv 18:2,4,4,0,0
248,Lv 18:4,4,4,0,0
249,Lv 18:30,8,4,0,0
250,Lv 19:4,4,4,2,0
251,Lv 19:10,4,4,0,0
252,Lv 19:31,4,4,0,0
