,size,Group,Verse text
Num 20:6,1,3-5,"Mojžíš a Áron nechavše lid, vešli do stánku úmluvy, padli na tvář až k zemi [a volali k Hospodinu: Hospodine, Bože, uslyš křik tohoto lidu a otevři jim poklad svůj, studnici vody živé, aby, když se napijí, přestali reptati]. Tu se nad nimi ukázala velebnost Hospodinova"
Exod 12:14,1,3-5,"Den tento bude vám dnem památným; bude vám svátkem na věky, který slaviti budete ve (všech) svých pokoleních."
Mark 5:41,1,3-5,"A vzav dívku za ruku, řekl jí: „Talítha, kúmi,“ to jest v překladě: „Dívko, (tobě pravím), vstaň.“"
Matt 5:16,1,3-5,"Tak svěť světlo vaše před lidmi, ať vidí skutky vaše dobré, a slaví Otce vašeho, kterýž jest v nebesích."
Matt 2:2,1,3-5,"řkouce: „Kde jest ten novorozený král židovský? Neboť viděli jsme hvězdu jeho na východě, i přišli jsme poklonit se jemu.“"
Matt 2:11,1,6-10,"I vešedše do domu, nalezli dítko s Marií, matkou jeho, a padše, klaněli se jemu, a otevřevše poklady své, obětovali mu dary: zlato, kadidlo a myrrhu."
Rom 8:23,1,3-5,"A nejen ono, nýbrž i my, ač máme prvotiny Ducha, i my sami v sobě sténáme, očekávajíce synovství, (totiž) vykoupení těla svého. "
Luke 10:27,1,6-10,"On odpověděv, řekl: Milovati budeš Pána Boha svého, z celého srdce svého, a z celé duše své, a ze vší síly své, i ze vší mysli své: a bližního svého jako sebe samého."
Luke 21:6,1,20+,"„Přijdou dnové, ve kterých z toho, co vidíte, nezůstane kámen na kameni, který by nebyl rozbořen.“"
Matt 6:33,1,20+,"Ale hledejte nejprv království Božího a spravedlnosti jeho, a toto vše bude vám přidáno."
1Cor 15:55,1,6-10,"Kde jest, ó smrti, vítězství tvé? Kde jest, ó smrti, osten tvůj?“"
Exod 20:13/Deut 5:17,1,20+,Nezabiješ.
2Cor 11:23,1,3-5,"Služebníky Kristovými jsou? Jako nesmyslný pravím: Já více. V prácech (jsem býval) přehojně, ve vězeních přehojně, v ranách nad míru, v nebezpečenství smrti častokrát."
Acts 2:2,1,3-5,"Tu povstal náhle s nebe hukot, jako když táhne vítr silný, a naplnil dům, kde seděli;"
Luke 23:34,1,20+,"Ježíš řekl: „Otče, odpusť jim, vždyť nevědí, co činí.“ Když si chtěli rozděliti mezi sebe jeho šaty, metali losy."
2Cor 6:14,1,3-5,Netáhněte jha s nevěřícími. Nebo jaký jest spolek spravedlnosti s nepravostí? A jaké obcování světla s temnostmi?
Matt 4:9,1,11-15,"a řekl: „Toto všecko tobě dám, jestliže padna, budeš se mi klaněti.“"
John 13:35,1,3-5,"Po tom poznají všichni, že jste učeníci moji, budete-li míti lásku jedni k druhým.“"
1John 5:7,1,3-5,"Jsou zajisté tři, kteří vydávají svědectví na nebi, Otec, Slovo a Duch svatý; a tito tři jedno jsou;"
Matt 22:39,1,20+,Druhé pak jest podobné tomu: Milovati budeš bližního svého jako sebe samého.
John 10:11,1,20+,Jáť jsem Pastýř dobrý. Dobry Pastýř duši svou dává za ovce své.
Luke 2:14,1,20+,"Sláva na výsostech Bohu, a na zemi pokoj, lidem dobrá vůle."
Acts 9:4,1,6-10,"a on pad na zem uslyšel hlas, an k němu praví: „Šavle, Šavle, proč mě pronásleduješ?“"
1Kgs 12:4,1,3-5,"Otec tvůj ztížil jho naše; protož nyní polehč služby otce svého tvrdé a břemena jeho těžkého, kteréž vzložil na nás, a budeme tobě sloužiti."
Gen 2:9,1,3-5,"A vyvedl Hospodin Bůh z země všeliký strom na pohledění libý, a ovoce k jídlu chutné; též strom života u prostřed ráje, i strom vědění dobrého a zlého."
Acts 5:29,1,11-15,Petr a apoštolově odpověděli: „Více sluší poslouchati Boha než lidí.
Matt 4:4,1,20+,Kterýž odpovídaje řekl: Psáno-ť jest: Ne samým chlebem živ jest člověk: ale každým slovem kteréž vychází z ust Božích.
Luke 19:46,1,3-5,"řka jim: „Psáno jest: Dům můj jest dům modlitby, vy však jste jej učinili peleší lotrovskou.“"
Matt 11:28,1,20+,"„Pojďte ke mně všichni, kteří těžce pracujete a jste přetíženi, a já vám dám odpočinek."
Luke 9:35,1,3-5,"A hlas přišel z oblaku řkoucí: „Tento jest Syn můj milý, toho poslouchejte.“"
2Pet 1:17,1,16-20,"Obdržel zajisté od Boha Otce čest i slávu, když se stal k němu takovýto hlas od velikolepé slávy: „Tento jest Syn můj milý, v němž jsem si zalíbil. (Jeho poslouchejte.“)"
Luke 18:10,1,3-5,"„Dva lidé vstoupili do chrámu, aby se modlili, jeden fariseus a druhý celník."
Luke 18:11,1,6-10,"Fariseus postaviv se modlil se sám u sebe takto: ,Bože, děkuji tobě, že nejsem jako jiní lidé, lupiči, nespravedliví, cizoložnici, aneb jako i tento celník."
Matt 23:12,1,3-5,"Kdo se povyšuje, bývá ponížen, kdo se ponižuje, bývá povýšen."
Matt 6:12,1,20+,"A odpusť nám naše viny, jakož i my odpouštíme naším viníkům."
Matt 6:11/Luke 11:3,1,20+,Chléb náš vezdejší dej nám dnes.
Exod 20:15/Deut 5:19,1,20+,Nepokradeš.
Luke 18:31,1,3-5,"Potom Ježíš pojav k sobě dvanácte, řekl jim: „Hle vstupujeme do Jerusalema, a dokoná se tam všecko, co psáno jest skrze proroky o Synu člověka;"
Luke 18:34,1,3-5,"A oni tomu nic nesrozuměli, a bylo slovo to skryto před nimi, a nesrozuměli, co se pravilo."
