,Source,Target,Value
196,Čech,Matt 25:23,5
197,Čech,1Cor 8:6,3
198,Čech,John 3:21,3
199,Čech,John 3:20,3
200,Čech,Matt 5:22,4
201,Čech,Gen 4:6,3
202,Čech,Mark 14:7,3
203,Čech,Matt 12:7,4
204,Čech,Matt 1:20,3
205,Čech,Job 19:21,3
206,Čech,Matt 5:8,6
207,Čech,Luke 14:11,4
208,Čech,Luke 24:29,4
209,Čech,Matt 25:41,3
210,Čech,2Tim 4:7,4
211,Čech,1Cor 15:17,7
212,Čech,Matt 16:19,3
213,Čech,Luke 16:3,3
214,Čech,Matt 7:15,6
215,Čech,John 3:19,3
216,Čech,Job 19:25,3
217,Čech,John 8:58,4
218,Čech,John 10:30,6
219,Čech,Matt 9:4,3
220,Čech,Mark 16:6,3
221,Čech,John 11:24,3
222,Čech,Luke 16:13,6
223,Čech,Mark 8:2,6
224,Čech,John 5:33,3
225,Čech,John 18:37,7
226,Čech,Matt 9:5,4
227,Čech,Acts 5:39,4
228,Čech,Rom 16:24,5
229,Čech,John 11:3,3
230,Čech,Mark 10:7,3
231,Čech,2Tim 4:3,3
232,Čech,Num 33:38,6
233,Čech,Luke 2:48,3
234,Čech,Luke 2:49,3
235,Čech,Acts 7:33,3
236,Čech,Jude 1:9,3
237,Čech,John 8:7,4
238,Čech,Luke 4:33,4
239,Čech,Mark 1:23,4
240,Čech,Rom 4:7,5
241,Čech,Luke 2:11,5
242,Čech,Mark 12:34,3
243,Čech,Titus 2:12,3
244,Čech,Mark 14:38,3
245,Čech,Matt 5:24,3
246,Čech,Luke 6:37,4
247,Čech,1Cor 13:3,3
248,Čech,Mark 7:34,4
249,Čech,Matt 5:20,13
250,Čech,Matt 18:3,9
251,Čech,2Pet 1:1,4
252,Čech,2Pet 2:20,4
253,Čech,Luke 10:34,3
254,Čech,Matt 5:4,3
255,Čech,Luke 7:16,3
256,Čech,Rev 21:4,3
257,Čech,Isa 35:4,3
258,Čech,Matt 11:5,3
259,Čech,Luke 18:12,3
260,Čech,1Pet 2:16,3
261,Čech,Isa 9:6,4
262,Čech,Matt 21:15,7
263,Čech,Luke 18:20,3
264,Čech,John 18:36,3
265,Čech,Luke 16:2,5
266,Čech,Luke 2:52,5
267,Čech,Rom 12:15,3
268,Čech,Judg 21:22,3
269,Čech,Rom 12:2,3
270,Čech,Matt 2:20,4
271,Čech,John 8:51,4
272,Čech,John 6:70,3
273,Čech,Matt 7:25,3
274,Čech,Matt 7:27,3
275,Československý zemědělec,Matt 20:16,3
276,Československý zemědělec,Matt 6:11/Luke 11:3,5
277,Československý zemědělec,Exod 20:13/Deut 5:17,7
278,Český učitel,Luke 6:27,4
279,Český učitel,Matt 7:1,3
280,Český učitel,Ps 2:9,4
281,Český učitel,Luke 18:42,3
282,Český učitel,Luke 20:25,3
283,Český učitel,Luke 18:20,13
284,Český učitel,Matt 19:18,15
285,Český učitel,Exod 20:13/Deut 5:17,15
286,Český učitel,Mark 10:14,3
287,Český učitel,Luke 10:27,3
288,Moravský večerník,Luke 3:4,8
289,Moravský večerník,Mark 1:3,10
290,Moravský večerník,Exod 20:15/Deut 5:19,5
291,Moravský večerník,Eph 6:2,8
292,Moravský večerník,Mark 15:34,4
293,Moravský večerník,Exod 20:13/Deut 5:17,38
294,Moravský večerník,Luke 18:42,7
295,Moravský večerník,Matt 6:11/Luke 11:3,3
296,Moravský večerník,Matt 6:12,5
297,Moravský večerník,Prov 26:27,11
298,Moravský večerník,Luke 21:6,5
299,Moravský večerník,Acts 10:47,3
300,Moravský večerník,Matt 5:38,11
301,Moravský večerník,Luke 2:14,6
302,Moravský večerník,Matt 12:45,3
303,Moravský večerník,Prov 12:10,3
304,Moravský večerník,1Chr 29:7,3
305,Moravský večerník,Exod 20:14/Deut 5:18,3
306,Moravský večerník,Sir 13:8,3
307,Moravský večerník,Matt 20:16,7
308,Moravský večerník,Luke 2:10,3
309,Moravský večerník,Matt 4:4,5
310,Moravský večerník,Luke 4:4,3
311,Moravský večerník,Matt 7:21,3
312,Moravský večerník,Matt 19:19,3
313,Moravský večerník,Luke 11:24,3
314,Polední list,Matt 6:12,3
315,Polední list,Exod 20:13/Deut 5:17,19
316,Polední list,Matt 5:38,8
317,Polední list,Mark 14:62,3
318,Polední list,Luke 8:6,3
319,Posel záhrobní,Exod 20:13/Deut 5:17,14
320,Posel záhrobní,Matt 11:28,7
321,Posel záhrobní,Matt 11:30,3
322,Posel záhrobní,John 10:30,9
323,Posel záhrobní,Luke 6:27,4
324,Posel záhrobní,1Cor 3:16,4
325,Posel záhrobní,John 18:7,3
326,Posel záhrobní,Matt 22:39,6
327,Posel záhrobní,John 10:16,3
328,Posel záhrobní,John 3:7,3
329,Posel záhrobní,Matt 7:21,5
330,Posel záhrobní,Luke 18:42,5
331,Posel záhrobní,John 1:1,4
332,Posel záhrobní,Mark 13:31/Matt 24:35/Luke 21:33,3
333,Posel záhrobní,Matt 12:7,3
334,Posel záhrobní,Matt 6:33,4
335,Posel záhrobní,Matt 5:38,3
336,Posel záhrobní,Dan 5:25,3
337,Posel záhrobní,Luke 2:14,4
338,Přítomnost,Exod 20:15/Deut 5:19,6
339,Přítomnost,Exod 20:13/Deut 5:17,39
340,Přítomnost,Matt 19:19,4
341,Přítomnost,Luke 3:4,7
342,Přítomnost,Mark 1:3,7
343,Přítomnost,Matt 6:11/Luke 11:3,3
344,Přítomnost,Eph 6:2,3
345,Přítomnost,Luke 18:20,3
346,Přítomnost,Matt 22:39,3
347,Přítomnost,Exod 20:14/Deut 5:18,3
348,Přítomnost,Matt 5:38,10
349,Přítomnost,Luke 21:6,3
350,Přítomnost,John 1:1,8
351,Přítomnost,Matt 5:3,5
352,Přítomnost,Luke 8:8,3
353,Přítomnost,Matt 6:33,4
354,Přítomnost,Jer 10:23,3
355,Přítomnost,Matt 12:45,6
356,Přítomnost,1Tim 6:11,4
357,Přítomnost,Matt 5:37,3
358,Přítomnost,Deut 31:20,3
359,Přítomnost,Gen 1:1,3
360,Přítomnost,Luke 20:25,4
361,Přítomnost,Prov 26:27,4
362,Přítomnost,Matt 11:5,8
363,Přítomnost,Heb 5:9,3
364,Studentský časopis,Exod 20:13/Deut 5:17,18
365,Studentský časopis,Matt 5:38,5
366,Venkov,Jer 46:16,3
367,Venkov,Matt 20:16,25
368,Venkov,Matt 6:11/Luke 11:3,23
369,Venkov,Mark 15:34,4
370,Venkov,Matt 27:46,10
371,Venkov,Deut 5:21,5
372,Venkov,Luke 2:10,5
373,Venkov,Jer 19:5,4
374,Venkov,Luke 3:4,9
375,Venkov,Mark 1:3,11
376,Venkov,Ps 31:6,3
377,Venkov,Luke 2:14,12
378,Venkov,Heb 5:9,10
379,Venkov,Exod 20:13/Deut 5:17,142
380,Venkov,Matt 22:39,6
381,Venkov,Exod 20:15/Deut 5:19,9
382,Venkov,Rom 4:21,5
383,Venkov,2Tim 4:7,11
384,Venkov,Exod 34:21,3
385,Venkov,Luke 18:42,12
386,Venkov,Acts 26:9,5
387,Venkov,Gen 3:19,4
388,Venkov,2Cor 2:6,14
389,Venkov,Matt 19:19,3
390,Venkov,Ezek 24:19,6
391,Venkov,Matt 6:13,11
392,Venkov,1John 5:6,4
393,Venkov,Matt 19:18,5
394,Venkov,Ps 138:8,4
395,Venkov,Matt 5:38,31
396,Venkov,Deut 9:9,5
397,Venkov,Num 27:5,3
398,Venkov,Matt 20:34,4
399,Venkov,Ps 78:20,3
400,Venkov,Prov 31:10,7
401,Venkov,1Cor 7:26,5
402,Venkov,Gal 6:2,6
403,Venkov,2Cor 7:10,9
404,Venkov,Matt 12:45,11
405,Venkov,Luke 11:10,3
406,Venkov,Matt 7:8,3
407,Venkov,Esth 6:4,4
408,Venkov,Matt 5:3,5
409,Venkov,Eph 6:2,10
410,Venkov,2Cor 11:26,3
411,Venkov,Lam 5:16,3
412,Venkov,Phil 1:10,3
413,Venkov,Acts 2:17,12
414,Venkov,John 15:25,3
415,Venkov,John 18:9,3
416,Venkov,1Tim 6:11,4
417,Venkov,Prov 26:27,9
418,Venkov,2Sam 14:5,6
419,Venkov,Luke 4:4,4
420,Venkov,Ps 23:4,7
421,Venkov,Matt 18:7,3
422,Venkov,Isa 45:8,4
423,Venkov,John 11:25,5
424,Venkov,Ps 37:5,5
425,Venkov,Luke 23:34,5
426,Venkov,Rom 15:17,7
427,Venkov,Matt 7:21,7
428,Venkov,1Tim 5:18,3
429,Venkov,Matt 5:7,3
430,Venkov,1Cor 10:24,4
431,Venkov,2Cor 1:2/Phil 1:2/2Thess 1:2/1Cor 1:3/Eph 1:2/Gal 1:3,3
432,Venkov,2Tim 3:10,3
433,Venkov,John 1:1,7
434,Venkov,Rev 14:13,3
435,Venkov,Luke 21:6,14
436,Venkov,John 11:34,5
437,Venkov,Luke 24:7,3
438,Venkov,Luke 2:11,3
439,Venkov,Jdt 13:15,12
440,Venkov,Luke 9:8,4
441,Venkov,Ps 23:1,3
442,Venkov,Mark 14:62,4
443,Venkov,Esth 1:5,5
444,Venkov,Gen 1:31,3
